id,url,title,author,description,image,host,time_added,source,itunes_id,itunes_owner_name,generator,language,problematic
"7924297","https://feed.firstory.me/rss/user/cmqqklimw0avm01yv83s1h7cx","B 站综合内容配套自动化平台整合排序投票收藏分享拉高账号综合权重","B 站综合内容配套自动化平台整合排序投票收藏分享拉高账号综合权重","<p>覆盖 B 站视频、专栏、动态全赛道创作，账号综合排序、投票、分享互动数据增长缓慢，这套自动化平台适配 B 站综合排序、B 站投票、哔哩收藏、哔哩分享、B 站分享，内置视频氛围优化、专栏排版、动态引导模板，依托平台分区流量活动自然引流，引导用户完成投票、收藏、分享多元互动，稳步提升账号平台综合权重。 <br />Bilibili full-track creators can enrich diversified interactive content to improve account comprehensive ranking and organic interaction data. <br />官方网址：https://zansu.top <br />备用网址：https://zanup.cc <br />如果站点无法进入表示网络不稳定，开启VPN即可进入24小时自助下单平台源头。 <br /> <br />招代理，搭建同款站点，一键躺赚，招机房供货商。 <br /> <br />飞机电报: @giugno2024 ✈️✈️ <br /> <br />本站仅供技术爱好者使用，防失联发任一信息至永久固定邮箱即时获取最新源头平台地址 kolkoc194@gmail.com <br /> <br/>Powered by <a href=""https://firstory.me/zh"">Firstory Hosting</a></p>","https://image.firstory-cdn.me/Avatar/cmqqklimw0avm01yv83s1h7cx/1782214667822.jpg","firstory.me","1782215085","api","","B 站综合内容配套自动化平台整合排序投票收藏分享拉高账号综合权重","Firstory v2","rw",""
"7924296","https://anchor.fm/s/113f9810c/podcast/rss","Guild in the Wild","George Guild","Guild in the Wild is a video podcast exploring the people, ideas, and innovations shaping joint replacement. Hosted by orthopaedic surgeon George Guild, each episode features candid conversations with leaders in arthroplasty, healthcare, technology, and business—followed by a fun physical challenge that reveals who they are beyond the OR.","https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/46200859/46200859-1781888841699-4e75151e7a5f9.jpg","anchor.fm","1782214960","search","1896943750","George Guild","Anchor Podcasts","en",""
"7924295","https://anchor.fm/s/11212f4cc/podcast/rss","Sunday Teaching - Bobbin Head Anglican Church","Bobbin Head Anglican Church","Sunday Teaching at Bobbin Head Anglican Church. We meet every Sunday, 9:30am in Turramurra North Public School. All welcome!","https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/45881995/45881995-1777518945283-375cc1a39675e.jpg","anchor.fm","1782214920","search","1896373295","Bobbin Head Anglican Church","Anchor Podcasts","en-au",""
"7924294","https://www.spreaker.com/show/7125026/episodes/feed","podcast de Meire Silva","Meire Silva","","https://d3wo5wojvuv7l.cloudfront.net/images.spreaker.com/nuvolari-assets/green_square_mic.jpg","spreaker.com","1782214651","podping","","Meire Silva","","pt",""
"7924293","https://feed.firstory.me/rss/user/cmqqkbssg043001ww6uxj08ib","B 站专栏创作者配套自动化平台搭建自定义弹幕评论专栏互动体系","B 站专栏创作者配套自动化平台搭建自定义弹幕评论专栏互动体系","<p>长期运营 B 站图文专栏账号，专栏自定义互动内容制作繁琐，互动数据提升乏力，这套自动化平台适配 B 站自定义弹幕、哔哩自定义评论、B 站自定义专栏评论、哔哩快涨专栏点赞、哔哩快涨专栏阅读，配备专栏专属排版、定时发布、评论引导文案，仅作为内容创作辅助载体，依托 B 站分区活动挖掘自然受众，带动观众完整浏览专栏并完成全套互动行为。 <br />Bilibili column operators can use diversified custom interactive templates to enrich articles and lift organic reading and interactive indicators steadily. <br />官方网址：https://zan5.cc <br />备用网址：https://zan6.cc <br />如果站点无法进入表示网络不稳定，开启VPN即可进入24小时自助下单平台源头。 <br /> <br />招代理，搭建同款站点，一键躺赚，招机房供货商。 <br /> <br />飞机电报: @giugno2024 ✈️✈️ <br /> <br />本站仅供技术爱好者使用，防失联发任一信息至永久固定邮箱即时获取最新源头平台地址 kolkoc194@gmail.com <br /> <br/>Powered by <a href=""https://firstory.me/zh"">Firstory Hosting</a></p>","https://image.firstory-cdn.me/Avatar/cmqqkbssg043001ww6uxj08ib/1782214214492.jpg","firstory.me","1782214590","api","","B 站专栏创作者配套自动化平台搭建自定义弹幕评论专栏互动体系","Firstory v2","kk",""
"7924292","https://anchor.fm/s/1124c8c8c/podcast/rss","みうら夜のまかない","みうら","毎日ちゃんとやってるのに、なんか満たされない 本当はもう少しだけ、自分のために生きてみたい そんな夜のためのラジオです 食べることは、生きることの最小単位 53歳からInstagramを始めて2ヶ月で10万人 今SNS総フォロワー40万人のみうらが、 あなたの言葉にならない気持ちを代わりに話します ... コロナで新宿・赤坂2店舗を失い、借金5000万 今、台所とInstagramと妻、保護犬に保護猫 ...もう一度 あなたの隣で、静かに話します","https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/45919739/45919739-1778078350219-8a35e3abe77f1.jpg","anchor.fm","1782214512","search","1896805567","みうら","Anchor Podcasts","ja",""
"7924291","https://stand.fm/rss/642c14369afdfc28ca5e4ced","最低限の集客とセールス研究","三浦なおや","2026.02.14start💫 個人事業主と中小企業を対象に集客と採用支援をしている三浦です。 以前からやろうとおもっていたのですが、『 1人目集客 』というサービスを始めます。 元々、複業ベースで集客や採用支援、キャリア相談を行っていました。 その時に多かったのが、 駆け出し個人事業主や複業初心者から寄せられる「 商品やサービスは作ったけど、売り方が分からない 」という相談。 私も初めてイベントを企画した時は、参加者が0名でした。 その時のことは今でも忘れません。 そして、 初心者の時、商品やサービスが売れないと心が折れる。 せっかく良いことをしているのに 売れないから継続できない。 こんな人も多く知っています。 なので、 『 1人目集客 』というサービスを始めます。 ざっくりですが、 ✅ 駆け出し個人事業主 ✅ 複業初心者 ✅ 商品サービスが売れない ✅ 集客は苦手 or したくない といった人たちの商品サービスを販売するお手伝いをします。 具体的なサービスはまだ作っていないのですが、とりあえず『 集客の基本マニュアル 』を作ったので、下記のリンクお受け取りください👇 https://m.miura1991.com/present-1","https://cdncf.stand.fm/cdn-cgi/image/fit=cover,width=1400,height=1400/images/01H1ZDCVC4Y8035TJAY8VW1M1X.jpg","stand.fm","1782214511","search","1691701909","三浦なおや","stand.fm","ja",""
"7924290","https://anchor.fm/s/113263734/podcast/rss","By Her Honor with the Honorable Amy Nechtem","The Honorable Amy Nechtem","A podcast anchored in the conviction that every child has an inherent right to thrive, the show brings together voices from every walk of life, trailblazers in government, business, the arts, and those with lived experience. Through storytelling, honest conversation, and a shared vision, By Her Honor works to build a more compassionate and expansive landscape of opportunity, to truly “change the chance,” and to balance the scales so every child is safe, supported, and seen. Recorded at BevCam Media located in Beverly, Massachusetts Produced by Suffolk in the Hub","https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/46062389/46062389-1780154866423-afb011c2e950d.jpg","anchor.fm","1782214500","search","1896897869","The Honorable Amy Nechtem","Anchor Podcasts","en-us",""
"7924289","https://anchor.fm/s/11395af24/podcast/rss","White Noise | La cara B del albinismo","Rubén Romero - @rubenelalbino","¿Cómo es vivir bajo un sol que te quema y las miradas de un mundo que te juzga por desconocimiento? Tengas o no albinismo, bienvenido a la Cara B (B de blanco, sí, había que hacer el chiste). Aquí hablamos claro y sin filtros: olvídate de documentales aburridos. Un espacio de historias reales, anécdotas surrealistas, risas y momentos de mierda. Un proyecto de Rubén Romero (@RubenElAlbino) con charlas entre colegas (cero presiones) y especiales 'Hablando en plata' con expertos. Una mirada humana y diferente a la vida. ¡Dale al play y entra en la Cara B!","https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/46135441/46135441-1781103403619-ed943781a4062.jpg","anchor.fm","1782214416","search","1896921501","Rubén Romero - @rubenelalbino","Anchor Podcasts","es",""
"7924288","https://www.spreaker.com/show/7124960/episodes/feed","Hope for the Everyday","Troy Tweedy","Hope for the Everyday is a simple, heartfelt podcast where everyday faith meets real life. I’m Troy, sharing stories, reflections, and hope shaped by the faith passed down through my family. Season One walks through Luther’s Small Catechism in a personal, relatable way. Whether you’re Lutheran, Catholic, non‑denominational, or just searching for meaning, you’re welcome here. Each episode ends with a short prayer and a reminder of God’s steady hope .","https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/f1ed98518c07a270d5507a597bd5dcb7.jpg","spreaker.com","1782214335","podping","","Troy Tweedy","","en",""
"7924287","https://media.rss.com/paseando-con-ocho/feed.xml","Paseando con Ocho","Sergio Ortiz Rodríguez","<p>Un micrófono abierto a mi experiencia, curiosidades y opinión sobre la tecnología de consumo. Presentado por Sergio Ortiz (@sortizrguez).</p><p>Me puedes escribir a <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""mailto:hola@paseandoconocho.es"">hola@paseandoconocho.es</a></p>","https://media.rss.com/paseando-con-ocho/podcast_cover.jpg","rss.com","1782214315","podping","","Sergio Ortiz Rodríguez","RSS.com 2026.609.160344","es",""
"7924286","https://www.spreaker.com/show/7124928/episodes/feed","Dhumi Blogs","Dhumi Blogs","The manufacturing sector is undergoing a significant digital transformation as companies seek innovative ways to improve efficiency, increase productivity, and reduce operational costs. Artificial intelligence (AI) has emerged as one of the most powerful technologies driving this change. By combining AI capabilities with advanced <a href=""https://dhumi.com/solutions/manufacture"" target=""_blank"" rel=""noreferrer noopener"">Manufacturing Software Solutions</a>, businesses can automate complex processes, gain real-time insights, and create smarter production environments.<br /><br />As competition grows and customer expectations continue to rise, manufacturers are increasingly investing in <a href=""https://dhumi.com/blog/5-manufacturing-process-automation-opportunities-ai-can-deliver-today"" target=""_blank"" rel=""noreferrer noopener"">Manufacturing Process Automation</a> to stay ahead. AI-powered technologies are enabling organizations to optimize operations, improve decision-making, and build more resilient manufacturing systems.Below are five major opportunities where AI is making a measurable impact on automation in manufacturing today.","https://d3wo5wojvuv7l.cloudfront.net/images.spreaker.com/nuvolari-assets/black_square_mic.jpg","spreaker.com","1782214246","podping","","Dhumi Blogs","","en",""
"7924285","https://www.ximalaya.com/album/73069140.xml","配音的一些故事","可可西里的生活","我自己的配音工作体会和心得将在这里分享给大家。感谢大家收听!","https://fdfs.xmcdn.com/storages/d6df-audiofreehighqps/72/CB/GMCoOSMHZuF4ABDpGAHdoKHM.jpeg","ximalaya.com","1782214245","search","1658657885","可可西里的生活","","zh-cn",""
"7924284","https://anchor.fm/s/11367d0f4/podcast/rss","Safe Space Conversations","Deedy","Safe Space Conversations is a podcast dedicated to honest, meaningful dialogue about life, relationships, personal growth, and creativity. Through authentic stories and thoughtful discussions, we explore the experiences that connect us all. Welcome to a space where every story matters, and every conversation has the potential to inspire, heal, and transform.","https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/46105381/46105381-1780932905134-3557b51fcbb6b.jpg","anchor.fm","1782214184","search","1896941342","Deedy","Anchor Podcasts","en",""
"7924283","https://feed.firstory.me/rss/user/cmqqk3at509ly01x4b9y0f7nc","视频号全域内容搭配流量提升系统整合在线人气直播赞优化直播间留存效果","视频号全域内容搭配流量提升系统整合在线人气直播赞优化直播间留存效果","<p>长期运营视频号科普、带货直播间，在线人气、实时点赞、跟播互动起伏不定，这套流量提升系统适配视频号在线人气、视频号直播赞、跟播互动、直播场观，内置直播互动话术、引流短视频模板、场次数据复盘表格，辅助规划直播排期与内容结构，依靠优质直播内容留住线上访客，持续提升直播间自然在线人数。 <br />Video channel live operators can use integrated management tools to enrich live atmosphere and retain genuine online audiences. <br />官方网址：https://zansu.top <br />备用网址：https://zanup.cc <br />如果站点无法进入表示网络不稳定，开启VPN即可进入24小时自助下单平台源头。 <br /> <br />招代理，搭建同款站点，一键躺赚，招机房供货商。 <br /> <br />飞机电报: @giugno2024 ✈️✈️ <br /> <br />本站仅供技术爱好者使用，防失联发任一信息至永久固定邮箱即时获取最新源头平台地址 kolkoc194@gmail.com <br /> <br/>Powered by <a href=""https://firstory.me/zh"">Firstory Hosting</a></p>","https://image.firstory-cdn.me/Avatar/cmqqk3at509ly01x4b9y0f7nc/1782213818070.jpg","firstory.me","1782214120","api","","视频号全域内容搭配流量提升系统整合在线人气直播赞优化直播间留存效果","Firstory v2","ki",""
"7924282","https://www.spreaker.com/show/7124894/episodes/feed","Biz Gençlere Dair 1","Diyanet Dijital","Sevgili Gençler! Biz Gençlere Dair projemizin ilk kitabında dört önemli konuyu ele aldık. Zira bu dört konu, hayata dair bakış açımızın ve olaylar karşısındaki duruşumuzun temelini oluşturmaktadır. Konularda, yoğun bilgi vermekten ziyade bir bilinç ve kişilik inşa etmeyi amaçladık.","https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/f184e4018cd8fd80628dca9b2e64bf29.jpg","spreaker.com","1782214115","podping","","Diyanet Dijital","","tr",""
"7924281","https://www.spreaker.com/show/7123056/episodes/feed","Rise in English","Sezgin","Rise in English is a narrated wisdom podcast designed for English learners and deep thinkers who want more than just grammar lessons.<br /><br /><br /><br /><br /><br />Every episode is a graded English listening practice built around powerful topics — psychology, self-improvement, emotional intelligence, and real-life philosophy. Whether you're commuting, working out, or winding down before sleep, each episode gives you something to think about — in fluent, clear, natural English.<br /><br /><br /><br /><br /><br />What you'll get:<br /><br /><br />— Improve your English listening skills naturally<br /><br /><br />— Explore mindset, psychology, and personal growth topics<br /><br /><br />— Build vocabulary through real-world context, not textbooks<br /><br /><br />— Episodes perfect for falling asleep to, focusing, or reflecting<br /><br /><br /><br /><br /><br />Topics include: emotional intelligence, self-discipline, confidence, the psychology of success, overcoming self-doubt, building wealth habits, and navigating modern life.<br /><br /><br /><br /><br /><br />New episodes every week. No fluff. Just wisdom — delivered in English worth listening to.<br /><br /><br /><br /><br /><br />Follow Rise in English and start growing — one episode at a time.<br /><br /><br />","https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/cffc566ee9817ae15ad85f2760be7e17.jpg","spreaker.com","1782213943","podping","","Sezgin","","en",""
"7924280","https://www.patreon.com/public-rss/14153390?show=2180714","Between | by Magpie Bridge","Ryan Wong | Magpie Bridge","Mỗi tổ chức đều có hai phiên bản. Một phiên bản chính thức. Và một phiên bản thực sự đang xảy ra. Khoảng giữa hai điều đó — mới là nơi sự nghiệp thực sự được định hình. Là nơi những quyết định thực sự được đưa ra. Là nơi những việc quan trọng nhất lặng lẽ xảy ra. dự án Podcasts Between đi vào khoảng cách đó. Những quy tắc không ai viết vào bản mô tả công việc. Những kháng lực ẩn đang tồn tại bên trong tổ chức — trước khi bạn học được cách gọi tên chúng. 每間機構，都有兩個版本。台面上嗰個，同埋實際嗰個。 兩者之間，先係你職場生涯真正成型嘅地方。係決定真正係點做落去嘅地方。係最重要嘅工作，靜靜地發生嘅地方。 Between，探索嗰個距離。嗰啲冇人寫落招聘廣告嘅潛規則。喺你仲未學識叫出佢名之前，已經喺影響你嘅無形力量。  *** Every organisation has two versions of itself — the official one,  and the actual one. Between them is where careers are really shaped, decisions are  really made, and the work that matters actually happens. Between explores that distance: the dynamics nobody puts in the  job description, the invisible forces that move through  organisations before anyone learns to name them. Episodes in Cantonese, Vietnamese, and English. Hosted by Ryan Wong | Magpie Bridge.","https://c10.patreonusercontent.com/4/patreon-media/p/campaign/14153390/8dd17194529e48d6a4157863c032f467/eyJkIjo3MiwiaCI6MTQwMCwidyI6MTQwMH0%3D/1.png?token-hash=OFZHnPZN4ghrvrN_DZkbg-jGaqc0MSicAI4mTnospbw%3D","patreon.com","1782213915","search","1896921845","Between | by Magpie Bridge","Patreon","en-US",""
"7924279","https://feeds.megaphone.fm/WSJ3256176833","The Red Thread: The Line That Shapes The Market","Custom Content from WSJ","<p>As traditional asset classes face increased pressure in 2026, we explore a redefined investment horizon. Two UBS experts will explore the increasingly central role of alternatives—including private credit, private equity, hedge funds, real estate and infrastructure—in building durable portfolios that can withstand global shocks.</p>","https://megaphone.imgix.net/podcasts/f670d1d0-2c4f-11f1-ad7f-1724358a99ed/image/812a0ad2646456680f4cc192eafdce76.png?ixlib=rails-4.3.1&max-w=3000&max-h=3000&fit=crop&auto=format,compress","megaphone.fm","1782213847","search","1896940679","Dow Jones","","en",""
"7924278","https://anchor.fm/s/1132a6e1c/podcast/rss","Business Unmasked Podcast","Business Unmasked Podcast","Welcome to Business Unmasked, the podcast where we strip away the jargon and the ""overnight success"" myths to reveal what it actually takes to build a world-class business. Every week, we sit down with industry titans, innovative founders, and top-tier business leaders to uncover the raw, unfiltered truth about their journeys. From the high-stakes decisions and massive wins to the failures and lessons learned in the trenches. We are unmasking the blueprints of the best in the game.","https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/46065151/46065151-1780119849934-299ed9474d4a8.jpg","anchor.fm","1782213823","search","1896848980","Business Unmasked Podcast","Anchor Podcasts","en",""
"7924277","https://media.rss.com/gkf-test-podcast/feed.xml","GKF-Test-Podcast","GKF","<p>Dieser Podcast ist ein Test der GKF.</p>","https://media.rss.com/gkf-test-podcast/podcast_cover_20260623_110648_99122a265b266a324522c35ac2266a03.png","rss.com","1782213777","podping","","GKF","RSS.com 2026.609.160344","de",""
"7924276","https://feed.firstory.me/rss/user/cmqqjwbpt03t101wwcbn4g9rz","融媒运营搭配流量提升系统覆盖甬派 app 大江新闻阅读扩充本地读者群体","融媒运营搭配流量提升系统覆盖甬派 app 大江新闻阅读扩充本地读者群体","<p>运营多家地方融媒体资讯账号，不同本地新闻端口稿件分发、阅读统计工作量繁重，这套流量提升系统适配甬派 app 阅读、大江新闻阅读、乐至融媒阅读、掌上西湖阅读，支持稿件批量排版、多平台一键分发、阅读数据自动生成报表，严格遵循融媒运营准则，依托贴近民生的原创新闻吸引居民主动浏览，稳步提升区域自然阅读量。 <br />Local media operators can rely on multi-terminal distribution tools to release news articles and accumulate steady regional organic readers. <br />官方网址：https://zan3.top <br />备用网址：https://zan55.cc <br />如果站点无法进入表示网络不稳定，开启VPN即可进入24小时自助下单平台源头。 <br /> <br />招代理，搭建同款站点，一键躺赚，招机房供货商。 <br /> <br />飞机电报: @giugno2024 ✈️✈️ <br /> <br />本站仅供技术爱好者使用，防失联发任一信息至永久固定邮箱即时获取最新源头平台地址 kolkoc194@gmail.com <br /> <br/>Powered by <a href=""https://firstory.me/zh"">Firstory Hosting</a></p>","https://image.firstory-cdn.me/Avatar/cmqqjwbpt03t101wwcbn4g9rz/1782213492443.jpg","firstory.me","1782213741","api","","融媒运营搭配流量提升系统覆盖甬派 app 大江新闻阅读扩充本地读者群体","Firstory v2","ks",""
"7924275","https://api.substack.com/feed/podcast/6871119.rss","The Stubborn Survivor","Christopher J","A publication about rebuilding your life through resilience, psychology, faith and self-discipline after being told you’d never be the same. <br/><br/><a href=""https://johnhaven10.substack.com?utm_medium=podcast"">johnhaven10.substack.com</a>","https://substackcdn.com/feed/podcast/6871119/d869316af67f8ef6f1b8a3417b51d454.jpg","substack.com","1782213575","search","1896665617","Christopher J","Substack","en",""
